date,user_id,click_target
2017-12-11,1,ad
2017-12-11,3,ad
2017-12-12,1,ad
2017-12-12,1,ad
2017-12-12,3,ad
2017-12-12,3,ad
2017-12-12,4,profile
2017-12-12,4,ad
2017-12-13,1,item
2017-12-13,4,profile
2017-12-13,4,ad
2017-12-14,1,ad
2017-12-14,1,ad
2017-12-14,4,ad
2017-12-15,3,item
2017-12-15,4,item
2017-12-15,4,ad
2017-12-16,1,item
2017-12-16,3,ad
2017-12-16,3,ad
2017-12-16,4,ad
2017-12-17,1,item
2017-12-17,1,profile
2017-12-17,1,item
2017-12-17,3,item
2017-12-17,3,item
2017-12-17,4,profile
2017-12-18,4,ad
2017-12-19,3,ad
2017-12-19,3,ad
2017-12-20,1,ad
2017-12-20,1,item
2017-12-20,1,item
2017-12-20,3,ad
2017-12-20,3,profile
2017-12-21,1,ad
2017-12-21,1,profile
2017-12-21,3,profile
2017-12-21,4,item
